Score
21
13
23
16
20
27
26
20
18
12
18
15
21
21
27
17
11
22
18
17
15
8
17
13
8
28
6
15
15
32
17
26
9
30
20
19
21
27
16
27
18
22
17
19
20
20
12
20
28
21
25
19
19
9
20
13
14
25
22
15
11
15
17
14
18
9
23
15
18
13
13
19
30
23
14
22
23
22
23
22
15
24
11
