Score
13
9
6
14
20
8
14
19
13
11
7
11
13
13
8
8
20
12
9
20
14
18
9
12
11
14
12
11
7
6
9
9
12
18
7
9
10
12
14
13
14
16
11
18
13
19
11
13
8
12
25
18
11
19
12
9
14
8
14
18
11
8
11
13
16
14
10
20
16
25
15
14
9
15
8
5
12
6
17
30
18
15
16
11
22
20
19
6
15
